Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,1
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,1
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,3
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,2
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,0
E05013573,Ickenham & South Harefield,16,White: Roma,-8,Does not apply,1
E05013573,Ickenham & South Harefield,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05013573,Ickenham & South Harefield,16,White: Roma,2,L3: Higher professional occupations,0
E05013573,Ickenham & South Harefield,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1
E05013573,Ickenham & South Harefield,16,White: Roma,4,L7: Intermediate occupations,1
E05013573,Ickenham & South Harefield,16,White: Roma,5,L8 and L9: Small employers and own account workers,9
E05013573,Ickenham & South Harefield,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,0
E05013573,Ickenham & South Harefield,16,White: Roma,7,L12: Semi-routine occupations,0
E05013573,Ickenham & South Harefield,16,White: Roma,8,L13: Routine occupations,0
E05013573,Ickenham & South Harefield,16,White: Roma,9,L14.1: Never worked,0
E05013573,Ickenham & South Harefield,16,White: Roma,10,L14.2: Long-term unemployed,0
E05013573,Ickenham & South Harefield,16,White: Roma,11,L15: Full-time students,2
E05013573,Ickenham & South Harefield,17,White: Other White,-8,Does not apply,153
E05013573,Ickenham & South Harefield,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,42
E05013573,Ickenham & South Harefield,17,White: Other White,2,L3: Higher professional occupations,110
E05013573,Ickenham & South Harefield,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",181
E05013573,Ickenham & South Harefield,17,White: Other White,4,L7: Intermediate occupations,110
E05013573,Ickenham & South Harefield,17,White: Other White,5,L8 and L9: Small employers and own account workers,160
E05013573,Ickenham & South Harefield,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,37
E05013573,Ickenham & South Harefield,17,White: Other White,7,L12: Semi-routine occupations,82
E05013573,Ickenham & South Harefield,17,White: Other White,8,L13: Routine occupations,78
E05013573,Ickenham & South Harefield,17,White: Other White,9,L14.1: Never worked,32
E05013573,Ickenham & South Harefield,17,White: Other White,10,L14.2: Long-term unemployed,6
E05013573,Ickenham & South Harefield,17,White: Other White,11,L15: Full-time students,46
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,-8,Does not apply,55
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,11
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,2,L3: Higher professional occupations,29
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",28
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,4,L7: Intermediate occupations,11
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,7
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,7
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,4
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,8,L13: Routine occupations,8
