"ID","ses","ethnic","district_id","frac_homos","frac_homoe"
"wh14417",3,1,"Brent 028E",0.592846270928463,0.802891933028919
"am13618",2,3,"Brent 001E",0.406807131280389,0.528363047001621
"bl10047",1,2,"Brent 024D",0.337988826815642,0.299813780260708
"wl10887",1,1,"Brent 008A",0.137651821862348,0.295546558704453
"al14256",1,3,"Brent 017D",0.395445134575569,0.456521739130435
"ah19715",3,3,"Brent 019E",0.255302435192459,0.633150039277298
"al11147",1,3,"Brent 001E",0.247163695299838,0.528363047001621
"wm6904",2,1,"Brent 014D",0.388023952095808,0.572455089820359
"bl7777",1,2,"Brent 021F",0.460927152317881,0.377483443708609
"am7973",2,3,"Brent 028B",0.271480804387569,0.131627056672761
"wl10204",1,1,"Brent 015D",0.285174693106704,0.637393767705382
"wl15592",1,1,"Brent 016D",0.380552220888355,0.236494597839136
"wm14580",2,1,"Brent 034B",0.279348757497858,0.608397600685518
"bl3350",1,2,"Brent 025E",0.401114206128134,0.361188486536676
"bm9579",2,2,"Brent 017G",0.357707509881423,0.0849802371541502
"wh29370",3,1,"Brent 024C",0.290960451977401,0.580979284369115
"bh4827",3,2,"Brent 012A",0.280973451327434,0.17146017699115
"wm19843",2,1,"Brent 012D",0.39212175470009,0.526410026857654
"wh9182",3,1,"Brent 033A",0.450244698205546,0.635399673735726
"bm9301",2,2,"Brent 017F",0.284237726098191,0.204134366925065
"wm26524",2,1,"Brent 010D",0.461620469083156,0.651385927505331
"wm20257",2,1,"Brent 032B",0.291571753986333,0.85041761579347
"ah16133",3,3,"Brent 016C",0.301724137931034,0.513793103448276
"bl9474",1,2,"Brent 019E",0.428908091123331,0.191673212882954
"wm31320",2,1,"Brent 017G",0.357707509881423,0.369565217391304
"al8114",1,3,"Brent 013A",0.238041002277904,0.504555808656036
"ah7414",3,3,"Brent 004E",0.382702702702703,0.607567567567568
"wh25196",3,1,"Brent 003F",0.304459691252144,0.274442538593482
"wh7071",3,1,"Brent 002A",0.301768990634755,0.470343392299688
"am8314",2,3,"Brent 015A",0.36744966442953,0.245805369127517
"am10825",2,3,"Brent 007B",0.40453074433657,0.513484358144552
"bh8901",3,2,"Brent 017G",0.41699604743083,0.0849802371541502
"wh1498",3,1,"Brent 022A",0.426829268292683,0.631707317073171
"ah20201",3,3,"Brent 020E",0.233644859813084,0.624299065420561
"bl5501",1,2,"Brent 013A",0.238041002277904,0.108200455580866
"wl15014",1,1,"Brent 021F",0.460927152317881,0.39205298013245
"al8579",1,3,"Brent 008E",0.153153153153153,0.556556556556557
"wh4518",3,1,"Brent 011A",0.279457768508863,0.602711157455683
"ah21784",3,3,"Brent 010F",0.240995415848068,0.507531106745252
"wh4695",3,1,"Brent 011B",0.275485436893204,0.532766990291262
"bh843",3,2,"Brent 030A",0.459821428571429,0.121651785714286
"am19487",2,3,"Brent 020D",0.315953307392996,0.585992217898833
"wm16561",2,1,"Brent 018E",0.326638477801268,0.719873150105708
"wm12656",2,1,"Brent 004D",0.354545454545455,0.367676767676768
"wm30228",2,1,"Brent 022D",0.339176829268293,0.714939024390244
"am4090",2,3,"Brent 018B",0.372421281216069,0.310532030401737
"wh16436",3,1,"Brent 015E",0.411561691113028,0.676445211389129
"wh26691",3,1,"Brent 013E",0.352127659574468,0.35531914893617
"ah13319",3,3,"Brent 001A",0.290448343079922,0.616959064327485
"al16867",1,3,"Brent 019D",0.447480785653288,0.812980358667805
"wh30237",3,1,"Brent 022E",0.372052401746725,0.622707423580786
"al9536",1,3,"Brent 007E",0.313984168865435,0.437994722955145
"bh817",3,2,"Brent 030A",0.459821428571429,0.121651785714286
"wh26715",3,1,"Brent 017B",0.335861321776815,0.292524377031419
"wh18388",3,1,"Brent 023E",0.509283819628647,0.713527851458886
"wm20198",2,1,"Brent 032B",0.291571753986333,0.85041761579347
"bl8780",1,2,"Brent 010D",0.299573560767591,0.181236673773987
"al5295",1,3,"Brent 005A",0.270536692223439,0.414019715224535
"ah3369",3,3,"Brent 011A",0.279457768508863,0.2429614181439
"al19535",1,3,"Brent 003G",0.235229155162893,0.587520706791828
"wm12331",2,1,"Brent 004B",0.38401559454191,0.417153996101364
"wm11471",2,1,"Brent 031E",0.336569579288026,0.558252427184466
"wh20400",3,1,"Brent 012D",0.37332139659803,0.526410026857654
"wl10263",1,1,"Brent 015E",0.2648835202761,0.676445211389129
"am9367",2,3,"Brent 013A",0.457858769931663,0.504555808656036
"am11854",2,3,"Brent 033E",0.300561797752809,0.254681647940075
"am8507",2,3,"Brent 015D",0.379603399433428,0.230406043437205
"bh6233",3,2,"Brent 021B",0.236453201970443,0.476190476190476
"am4338",2,3,"Brent 025A",0.390170511534604,0.18555667001003
"wl11664",1,1,"Brent 007A",0.206783369803063,0.389496717724289
"am9523",2,3,"Brent 013B",0.352673492605233,0.511945392491468
"wm20428",2,1,"Brent 032B",0.291571753986333,0.85041761579347
"wl5893",1,1,"Brent 031A",0.360863095238095,0.532738095238095
"wm11731",2,1,"Brent 033D",0.340466926070039,0.613813229571984
"ah7220",3,3,"Brent 004D",0.524242424242424,0.596969696969697
"al2557",1,3,"Brent 006A",0.156462585034014,0.440233236151603
"wl13168",1,1,"Brent 033F",0.205907906168549,0.682884448305821
"ah17877",3,3,"Brent 020B",0.269717624148004,0.574488802336904
"wh2777",3,1,"Brent 030B",0.504520795660036,0.716998191681736
"al4692",1,3,"Brent 002A",0.236212278876171,0.429760665972945
"wh17749",3,1,"Brent 023D",0.59683426443203,0.844506517690875
"wh7488",3,1,"Brent 002C",0.275449101796407,0.523952095808383
"wm14334",2,1,"Brent 028E",0.264840182648402,0.802891933028919
"bm5655",2,2,"Brent 033F",0.30755864465682,0.170286707211121
"am5409",2,3,"Brent 003B",0.429137760158573,0.584737363726462
"al19410",1,3,"Brent 003G",0.235229155162893,0.587520706791828
"wh9739",3,1,"Brent 033B",0.410130718954248,0.678104575163399
"wh19512",3,1,"Brent 012A",0.280973451327434,0.314159292035398
"wm17815",2,1,"Brent 008C",0.379346680716544,0.397260273972603
"ah9367",3,3,"Brent 008B",0.437371663244353,0.592402464065708
"bh6986",3,2,"Brent 013E",0.352127659574468,0.14468085106383
"wl9973",1,1,"Brent 015B",0.271281571562208,0.724976613657624
"al11745",1,3,"Brent 021E",0.439620081411126,0.199457259158752
"bh3568",3,2,"Brent 034A",0.355022831050228,0.386986301369863
"wm24151",2,1,"Brent 021D",0.367626886145405,0.395061728395062
"wl8039",1,1,"Brent 004C",0.165111940298507,0.428171641791045
"ah4473",3,3,"Brent 002A",0.301768990634755,0.429760665972945
"wm16584",2,1,"Brent 018E",0.326638477801268,0.719873150105708
"wm13608",2,1,"Brent 028B",0.271480804387569,0.786106032906764
"wm4761",2,1,"Brent 011C",0.390055248618785,0.549171270718232
"wh27365",3,1,"Brent 005C",0.328287606433302,0.455061494796594
"wm13813",2,1,"Brent 028C",0.280289330922242,0.750452079566004
"wm25610",2,1,"Brent 017B",0.369447453954496,0.292524377031419
"bl4730",1,2,"Brent 034B",0.314481576692374,0.258783204798629
"wl15507",1,1,"Brent 019A",0.292837715321849,0.271078875793291
"wl8173",1,1,"Brent 003E",0.220212765957447,0.284042553191489
"wl2841",1,1,"Brent 011B",0.316747572815534,0.532766990291262
"wl9306",1,1,"Brent 034B",0.314481576692374,0.608397600685518
"al1893",1,3,"Brent 026D",0.411433926897844,0.538894095595127
"al3445",1,3,"Brent 030D",0.193326790971541,0.191364082433759
"wl14465",1,1,"Brent 027E",0.388075313807531,0.350418410041841
"wh7657",3,1,"Brent 005A",0.328587075575027,0.465498357064622
"bh92",3,2,"Brent 026B",0.190301921317475,0.110704483074108
"wm20864",2,1,"Brent 032C",0.274688796680498,0.843153526970954
"ah1769",3,3,"Brent 009B",0.373820754716981,0.422169811320755
"am10899",2,3,"Brent 007C",0.434258142340169,0.469240048250905
"wl15335",1,1,"Brent 013D",0.362295081967213,0.29016393442623
"wm31598",2,1,"Brent 003G",0.40750966316952,0.349530646051905
"wh14666",3,1,"Brent 028E",0.592846270928463,0.802891933028919
"wh26226",3,1,"Brent 013D",0.310655737704918,0.29016393442623
"wm28866",2,1,"Brent 020E",0.344859813084112,0.222429906542056
"bh7661",3,2,"Brent 009E",0.339578454332553,0.133489461358314
"am17197",2,3,"Brent 005C",0.421002838221381,0.453169347209082
"bm2410",2,2,"Brent 031A",0.374255952380952,0.326636904761905
"wh19360",3,1,"Brent 008E",0.449449449449449,0.352352352352352
"wm32079",2,1,"Brent 031H",0.361336032388664,0.481781376518219
"wh22344",3,1,"Brent 032C",0.57344398340249,0.843153526970954
"bm4318",2,2,"Brent 034D",0.353300733496333,0.556234718826406
"am11971",2,3,"Brent 033F",0.30755864465682,0.146828844483058
"al16019",1,3,"Brent 026E",0.408789386401327,0.583747927031509
"wm24086",2,1,"Brent 021D",0.367626886145405,0.395061728395062
"bm942",2,2,"Brent 030D",0.360157016683023,0.1099116781158
"bh5126",3,2,"Brent 012D",0.37332139659803,0.106535362578335
"bm6693",2,2,"Brent 021C",0.34435261707989,0.454545454545455
"bm7005",2,2,"Brent 021F",0.350993377483444,0.377483443708609
"bh5412",3,2,"Brent 033F",0.486533449174631,0.170286707211121
"wh29343",3,1,"Brent 024B",0.257833482542525,0.557743957027753
"al8142",1,3,"Brent 013A",0.238041002277904,0.504555808656036
"wm8180",2,1,"Brent 002C",0.454091816367265,0.523952095808383
"wm2725",2,1,"Brent 030A",0.3203125,0.716517857142857
"wm21325",2,1,"Brent 033E",0.300561797752809,0.616104868913858
"wm19162",2,1,"Brent 007D",0.420433996383363,0.416817359855335
"bl9046",1,2,"Brent 014E",0.35871743486974,0.241482965931864
"am8004",2,3,"Brent 028B",0.271480804387569,0.131627056672761
"wm12113",2,1,"Brent 004A",0.348484848484849,0.367676767676768
"al10809",1,3,"Brent 003F",0.294168096054889,0.668953687821612
"am16901",2,3,"Brent 020C",0.347368421052632,0.472727272727273
"ah832",3,3,"Brent 026C",0.223880597014925,0.681592039800995
"wh23294",3,1,"Brent 032D",0.559946416610851,0.790354989953114
"wh27103",3,1,"Brent 020C",0.242105263157895,0.2688995215311
"wl7214",1,1,"Brent 033B",0.287581699346405,0.678104575163399
"al5446",1,3,"Brent 002D",0.267379679144385,0.32620320855615
"wl10469",1,1,"Brent 015F",0.17436974789916,0.801470588235294
"wl13773",1,1,"Brent 003F",0.294168096054889,0.274442538593482
"am2197",2,3,"Brent 009C",0.345467523197716,0.351177730192719
"ah7309",3,3,"Brent 004D",0.524242424242424,0.596969696969697
"ah8389",3,3,"Brent 015A",0.307046979865772,0.245805369127517
"bm5787",2,2,"Brent 002E",0.427433628318584,0.170796460176991
"ah21063",3,3,"Brent 017G",0.41699604743083,0.545454545454545
"al17269",1,3,"Brent 019E",0.428908091123331,0.633150039277298
"am15421",2,3,"Brent 016D",0.310924369747899,0.623049219687875
"bm8353",2,2,"Brent 014F",0.425252525252525,0.194949494949495
"wl17927",1,1,"Brent 019D",0.447480785653288,0.119555935098207
"bl5350",1,2,"Brent 018E",0.180761099365751,0.135306553911205
"wm7012",2,1,"Brent 014D",0.388023952095808,0.572455089820359
"bh5988",3,2,"Brent 027D",0.287671232876712,0.602739726027397
"al10995",1,3,"Brent 001D",0.266272189349112,0.509861932938856
"al11188",1,3,"Brent 001E",0.247163695299838,0.528363047001621
"wh18876",3,1,"Brent 008C",0.402528977871444,0.397260273972603
"wh17017",3,1,"Brent 015F",0.550420168067227,0.801470588235294
"wh26566",3,1,"Brent 019B",0.280080889787664,0.304347826086957
"wm178",2,1,"Brent 029A",0.373117033603708,0.420625724217845
"wm29792",2,1,"Brent 024B",0.360787824529991,0.557743957027753
"al13244",1,3,"Brent 019B",0.339737108190091,0.599595551061679
"wm27586",2,1,"Brent 014E",0.424849699398798,0.472945891783567
"ah15606",3,3,"Brent 016B",0.270896273917422,0.504531722054381
"wl19054",1,1,"Brent 024C",0.319209039548023,0.580979284369115
"wh15828",3,1,"Brent 015C",0.456037514654162,0.706916764361079
"wl10041",1,1,"Brent 015C",0.175849941383353,0.706916764361079
"wh18807",3,1,"Brent 013B",0.389078498293515,0.331058020477816
"wm29242",2,1,"Brent 024A",0.37594696969697,0.596590909090909
"ah1223",3,3,"Brent 009A",0.373051224944321,0.468819599109131
"wl19088",1,1,"Brent 024C",0.319209039548023,0.580979284369115
"ah16381",3,3,"Brent 019A",0.338168631006346,0.594741613780598
"wh8848",3,1,"Brent 025E",0.221912720519963,0.495821727019499
"al12927",1,3,"Brent 019A",0.292837715321849,0.594741613780598
"bm7469",2,2,"Brent 017B",0.369447453954496,0.28602383531961
"ah9826",3,3,"Brent 013B",0.389078498293515,0.511945392491468
"wl18082",1,1,"Brent 020D",0.408560311284047,0.247470817120623
"wh7196",3,1,"Brent 002B",0.329885057471264,0.529885057471264
"bl10048",1,2,"Brent 024D",0.337988826815642,0.299813780260708
"ah17770",3,3,"Brent 020B",0.269717624148004,0.574488802336904
"am8327",2,3,"Brent 015B",0.374181478016838,0.155285313376988
"wm2469",2,1,"Brent 022A",0.339024390243902,0.631707317073171
"bh4274",3,2,"Brent 015D",0.335221907459868,0.132200188857413
"bm5305",2,2,"Brent 012D",0.39212175470009,0.106535362578335
"wl7938",1,1,"Brent 004B",0.118908382066277,0.417153996101364
"wm18024",2,1,"Brent 008D",0.245298446443173,0.3221586263287
"al8776",1,3,"Brent 012A",0.347345132743363,0.514380530973451
"bh7323",3,2,"Brent 017E",0.250740375123396,0.307996051332675
"am7388",2,3,"Brent 004D",0.354545454545455,0.596969696969697
"wh21086",3,1,"Brent 032B",0.55960516324981,0.85041761579347
"wm32060",2,1,"Brent 031H",0.361336032388664,0.481781376518219
"wh18304",3,1,"Brent 023E",0.509283819628647,0.713527851458886
"wl8052",1,1,"Brent 004C",0.165111940298507,0.428171641791045
"bm4562",2,2,"Brent 015D",0.379603399433428,0.132200188857413
"wl5367",1,1,"Brent 005B",0.308779011099899,0.451059535822402
"bl832",1,2,"Brent 006E",0.195970695970696,0.0961538461538462
"al11833",1,3,"Brent 021F",0.460927152317881,0.23046357615894
"bh9043",3,2,"Brent 031H",0.288461538461538,0.319838056680162
"wm12805",2,1,"Brent 004E",0.402162162162162,0.332972972972973
"wh4297",3,1,"Brent 023C",0.482625482625483,0.761583011583012
"wm1426",2,1,"Brent 009C",0.345467523197716,0.337615988579586
"ah7143",3,3,"Brent 004D",0.524242424242424,0.596969696969697
"al11086",1,3,"Brent 001E",0.247163695299838,0.528363047001621
"al14818",1,3,"Brent 020C",0.410526315789474,0.472727272727273
"ah15502",3,3,"Brent 016B",0.270896273917422,0.504531722054381
"am10818",2,3,"Brent 007B",0.40453074433657,0.513484358144552
"wm21290",2,1,"Brent 033E",0.300561797752809,0.616104868913858
"bm7089",2,2,"Brent 016B",0.390735146022155,0.158106747230614
"al8470",1,3,"Brent 016A",0.225268176400477,0.436233611442193
"wh19879",3,1,"Brent 007B",0.372168284789644,0.425026968716289
"am9334",2,3,"Brent 013A",0.457858769931663,0.504555808656036
"al11274",1,3,"Brent 001F",0.248554913294798,0.642581888246628
"al5839",1,3,"Brent 031C",0.382043935052531,0.110792741165234
"am16098",2,3,"Brent 020A",0.346046511627907,0.486511627906977
"bm7471",2,2,"Brent 017B",0.369447453954496,0.28602383531961
"wl11820",1,1,"Brent 007C",0.184559710494572,0.449939686369119
"wh15524",3,1,"Brent 015B",0.354536950420954,0.724976613657624
"wl12344",1,1,"Brent 032A",0.26,0.698181818181818
"wm19927",2,1,"Brent 012D",0.39212175470009,0.526410026857654
"wh2222",3,1,"Brent 023A",0.611524163568773,0.803903345724907
"wm25343",2,1,"Brent 019B",0.380182002022245,0.304347826086957
"wm26612",2,1,"Brent 010D",0.461620469083156,0.651385927505331
"wm28399",2,1,"Brent 019C",0.340052585451358,0.19193689745837
"bm3255",2,2,"Brent 033B",0.302287581699346,0.216503267973856
"wh20995",3,1,"Brent 032B",0.55960516324981,0.85041761579347
"ah73",3,3,"Brent 026A",0.221398305084746,0.569915254237288
"wl16457",1,1,"Brent 020B",0.384615384615385,0.223953261927945
"al9026",1,3,"Brent 007B",0.223300970873786,0.513484358144552
"wh16322",3,1,"Brent 015E",0.411561691113028,0.676445211389129
"wl2364",1,1,"Brent 023C",0.219111969111969,0.761583011583012
"ah2225",3,3,"Brent 006C",0.321472392638037,0.47239263803681
"al13135",1,3,"Brent 016D",0.380552220888355,0.623049219687875
"wl6918",1,1,"Brent 033A",0.223491027732463,0.635399673735726
"bm2258",2,2,"Brent 025C",0.368639667705088,0.412253374870197
"ah13005",3,3,"Brent 032C",0.57344398340249,0.0763485477178423
"al6015",1,3,"Brent 025F",0.418478260869565,0.14945652173913
"wm13610",2,1,"Brent 028B",0.271480804387569,0.786106032906764
"wh28613",3,1,"Brent 022B",0.372627372627373,0.65034965034965
"bl4389",1,2,"Brent 028A",0.220735785953177,0.0861204013377926
"wl17026",1,1,"Brent 009E",0.252927400468384,0.565573770491803
"am1477",2,3,"Brent 029D",0.345381526104418,0.717871485943775
"ah13585",3,3,"Brent 002E",0.307964601769912,0.469911504424779
