Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L13: Routine occupations,5
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L14.1 and L14.2: Never worked and long-term unemployed,4
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L15: Full-time students,14
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,19
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,3,L7: Intermediate occupations,2
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,4,L8 and L9: Small employers and own account workers,1
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,6,L12: Semi-routine occupations,2
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,7,L13: Routine occupations,0
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,8,L14.1 and L14.2: Never worked and long-term unemployed,2
E05013967,Beam Park,9,Mixed or Multiple ethnic groups: White and Asian,9,L15: Full-time students,1
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,17
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,3,L7: Intermediate occupations,2
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,4,L8 and L9: Small employers and own account workers,2
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,6,L12: Semi-routine occupations,0
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,7,L13: Routine occupations,3
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05013967,Beam Park,10,Mixed or Multiple ethnic groups: White and Black African,9,L15: Full-time students,4
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,46
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",5
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,L7: Intermediate occupations,11
