Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011245,Hainault,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,11
E05011245,Hainault,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,12
E05011245,Hainault,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,7
E05011245,Hainault,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,29
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,104
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,9
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,10
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,14
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,18
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,10
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,7
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,10
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,7
E05011245,Hainault,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,14
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,1122
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,161
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,297
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",904
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,707
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,661
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,342
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,691
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,662
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,536
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,64
E05011245,Hainault,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,216
E05011245,Hainault,14,White: Irish,-8,Does not apply,5
E05011245,Hainault,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05011245,Hainault,14,White: Irish,2,L3: Higher professional occupations,11
E05011245,Hainault,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",18
E05011245,Hainault,14,White: Irish,4,L7: Intermediate occupations,14
E05011245,Hainault,14,White: Irish,5,L8 and L9: Small employers and own account workers,11
E05011245,Hainault,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,2
E05011245,Hainault,14,White: Irish,7,L12: Semi-routine occupations,8
