original_11;recoded_11
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_african_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_african_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;black_african_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;black_african_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;black_african_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;black_african_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ African - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;black_african_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_carribean_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_carribean_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;black_carribean_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;black_carribean_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;black_carribean_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;black_carribean_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;black_carribean_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_other_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";black_other_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;black_other_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;black_other_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;black_other_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;black_other_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British\ Other Black - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;black_other_sc7
