Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,46
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,7
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",14
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,8
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,4
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,4
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,5
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,7
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,5
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,3
E05009317,Bethnal Green,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,25
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,49
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,10
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",36
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,10
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,18
E05009317,Bethnal Green,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,3
