Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,28
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",86
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,67
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,32
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,30
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,67
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,80
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,50
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,17
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,47
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,125
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,11
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",24
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,24
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,14
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,6
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,21
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,11
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,22
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,11
E05009377,Hoxton East & Shoreditch,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,51
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,67
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,12
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,49
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",54
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,3
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,8
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,3
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,6
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,0
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,7
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,2
E05009377,Hoxton East & Shoreditch,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,22
